frame;intention_direction;intention_proximity
531;right;112
532;right;112
533;right;111
534;right;110
535;right;110
536;right;109
537;right;109
538;right;108
539;right;108
540;right;107
541;right;106
542;right;106
543;right;105
544;right;104
545;right;104
546;right;103
547;right;103
548;right;102
549;right;102
550;right;101
551;right;100
552;right;100
553;right;99
554;right;99
555;right;98
556;right;98
557;right;97
558;right;96
559;right;96
560;right;95
561;right;95
562;right;94
563;right;94
564;right;93
565;right;92
566;right;92
567;right;91
568;right;91
569;right;90
570;right;90
571;right;89
572;right;89
573;right;88
574;right;87
575;right;87
576;right;86
577;right;85
578;right;85
579;right;84
580;right;84
581;right;83
582;right;82
583;right;82
584;right;81
585;right;81
586;right;80
587;right;80
588;right;79
589;right;79
590;right;79
591;right;79
592;right;79
593;right;79
594;right;79
595;right;79
596;right;79
597;right;79
598;right;79
599;right;79
600;right;79
601;right;79
602;right;79
603;right;79
604;right;79
605;right;79
606;right;79
607;right;79
608;right;79
609;right;79
610;right;79
611;right;79
612;right;79
613;right;79
614;right;79
615;right;79
616;right;79
617;right;79
618;right;79
619;right;79
620;right;79
621;right;79
622;right;79
623;right;79
624;right;79
625;right;79
626;right;79
627;right;79
628;right;79
629;right;79
630;right;79
631;right;79
632;right;79
633;right;79
634;right;79
635;right;79
636;right;79
637;right;79
638;right;79
639;right;79
640;right;79
641;right;79
642;right;79
643;right;79
644;right;79
645;right;79
646;right;79
647;right;79
648;right;79
649;right;79
650;right;79
651;right;79
652;right;79
653;right;79
654;right;79
655;right;79
656;right;79
657;right;79
658;right;79
659;right;79
660;right;79
661;right;79
662;right;79
663;right;79
664;right;79
665;right;79
666;right;79
667;right;79
668;right;79
669;right;79
670;right;79
671;right;79
672;right;79
673;right;79
674;right;79
675;right;79
676;right;79
677;right;79
678;right;79
679;right;79
680;right;79
681;right;79
682;right;79
683;right;79
684;right;79
685;right;79
686;right;79
687;right;79
688;right;79
689;right;79
690;right;79
691;right;79
692;right;79
693;right;79
694;right;79
695;right;79
696;right;79
697;right;79
698;right;79
699;right;79
700;right;79
701;right;79
702;right;79
703;right;79
704;right;79
705;right;79
706;right;79
707;right;79
708;right;79
709;right;79
710;right;79
711;right;79
712;right;79
713;right;79
714;right;79
715;right;79
716;right;79
717;right;79
718;right;79
719;right;79
720;right;79
721;right;79
722;right;79
723;right;79
724;right;79
725;right;79
726;right;79
727;right;79
728;right;79
729;right;79
730;right;79
731;right;79
732;right;79
733;right;79
734;right;79
735;right;79
736;right;79
737;right;79
738;right;79
739;right;79
740;right;79
741;right;79
742;right;79
743;right;79
744;right;79
745;right;79
746;right;79
747;right;79
748;right;79
749;right;79
750;right;79
751;right;79
752;right;79
753;right;79
754;right;79
755;right;79
756;right;79
757;right;79
758;right;79
759;right;79
760;right;79
761;right;79
762;right;79
763;right;79
764;right;79
765;right;79
766;right;79
767;right;79
768;right;79
769;right;79
770;right;79
771;right;79
772;right;79
773;right;79
774;right;79
775;right;79
